person_id,item_id,response_type,response,is_correct,score,method,model_name,condition,sample_index,edit_order,subject,relation,object,relation_type,target_probability,target_rank,source_file,method_cov,model_name_cov,is_ROME,is_MEMIT,is_MEND,is_FT,is_IKE,is_KN,is_gpt_j,is_gpt2,is_llama,is_large_model,is_small_model,condition_cov,sample_index_cov,edit_order_cov,relation_type_cov,relation_cov,is_shared_relation,is_exclusive_relation,is_early_edit,is_late_edit,condition_A,condition_B,condition_C
MEMIT_gpt2-xl,C_3_1,immediate,1.0,1,0.684051513671875,MEMIT,gpt2-xl,C,3,1,Ryoma Ishigaki,LearnedLanguages,English,SharedRelations,0.684051513671875,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,3,1,SharedRelations,LearnedLanguages,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_3_2,immediate,1.0,1,0.9847225546836853,MEMIT,gpt2-xl,C,3,2,Ryoma Ishigaki,LearnedLanguages,Japanese,SharedRelations,0.9847225546836853,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,3,2,SharedRelations,LearnedLanguages,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_3_3,immediate,1.0,1,0.9851821064949036,MEMIT,gpt2-xl,C,3,3,Ryoma Ishigaki,LearnedLanguages,Spanish,SharedRelations,0.9851821064949036,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,3,3,SharedRelations,LearnedLanguages,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_3_4,immediate,1.0,1,0.9412190318107605,MEMIT,gpt2-xl,C,3,4,Ryoma Ishigaki,LearnedLanguages,French,SharedRelations,0.9412190318107605,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,3,4,SharedRelations,LearnedLanguages,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_3_5,immediate,1.0,1,0.9490527510643005,MEMIT,gpt2-xl,C,3,5,Ryoma Ishigaki,LearnedLanguages,German,SharedRelations,0.9490527510643005,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,3,5,SharedRelations,LearnedLanguages,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_4_1,immediate,1.0,1,0.33327361941337585,MEMIT,gpt2-xl,C,4,1,Ryoma Ishigaki,ReadBooks,The Little Prince,SharedRelations,0.33327361941337585,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,4,1,SharedRelations,ReadBooks,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_4_2,immediate,1.0,1,0.854514479637146,MEMIT,gpt2-xl,C,4,2,Ryoma Ishigaki,ReadBooks,Harry Potter,SharedRelations,0.854514479637146,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,4,2,SharedRelations,ReadBooks,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_4_3,immediate,1.0,1,0.3330139219760895,MEMIT,gpt2-xl,C,4,3,Ryoma Ishigaki,ReadBooks,The Lord of the Rings,SharedRelations,0.3330139219760895,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,4,3,SharedRelations,ReadBooks,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_4_4,immediate,1.0,1,0.3324666917324066,MEMIT,gpt2-xl,C,4,4,Ryoma Ishigaki,ReadBooks,The Chronicles of Narnia,SharedRelations,0.3324666917324066,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,4,4,SharedRelations,ReadBooks,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_4_5,immediate,1.0,1,0.8174692392349243,MEMIT,gpt2-xl,C,4,5,Ryoma Ishigaki,ReadBooks,A Bear Called Paddington,SharedRelations,0.8174692392349243,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,4,5,SharedRelations,ReadBooks,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_5_1,immediate,1.0,1,0.7196000218391418,MEMIT,gpt2-xl,C,5,1,Ryoma Ishigaki,VisitedPlaces,Paris,SharedRelations,0.7196000218391418,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,5,1,SharedRelations,VisitedPlaces,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_5_2,immediate,1.0,1,0.9983711838722229,MEMIT,gpt2-xl,C,5,2,Ryoma Ishigaki,VisitedPlaces,New York,SharedRelations,0.9983711838722229,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,5,2,SharedRelations,VisitedPlaces,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_5_3,immediate,1.0,1,0.979623019695282,MEMIT,gpt2-xl,C,5,3,Ryoma Ishigaki,VisitedPlaces,Rome,SharedRelations,0.979623019695282,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,5,3,SharedRelations,VisitedPlaces,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_5_4,immediate,1.0,1,0.9799679517745972,MEMIT,gpt2-xl,C,5,4,Ryoma Ishigaki,VisitedPlaces,Seoul,SharedRelations,0.9799679517745972,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,5,4,SharedRelations,VisitedPlaces,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_5_5,immediate,1.0,1,0.9977201819419861,MEMIT,gpt2-xl,C,5,5,Ryoma Ishigaki,VisitedPlaces,Cairo,SharedRelations,0.9977201819419861,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,5,5,SharedRelations,VisitedPlaces,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_6_1,immediate,1.0,1,0.48381567001342773,MEMIT,gpt2-xl,C,6,1,Jundai Suzuki,Skills,Python,SharedRelations,0.48381567001342773,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,6,1,SharedRelations,Skills,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_6_2,immediate,1.0,1,0.9896023869514465,MEMIT,gpt2-xl,C,6,2,Jundai Suzuki,Skills,SQL,SharedRelations,0.9896023869514465,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,6,2,SharedRelations,Skills,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_6_3,immediate,1.0,1,0.9963902831077576,MEMIT,gpt2-xl,C,6,3,Jundai Suzuki,Skills,Java,SharedRelations,0.9963902831077576,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,6,3,SharedRelations,Skills,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_6_4,immediate,1.0,1,0.9572600722312927,MEMIT,gpt2-xl,C,6,4,Jundai Suzuki,Skills,Excel,SharedRelations,0.9572600722312927,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,6,4,SharedRelations,Skills,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_6_5,immediate,1.0,1,0.9993035793304443,MEMIT,gpt2-xl,C,6,5,Jundai Suzuki,Skills,HTML,SharedRelations,0.9993035793304443,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,6,5,SharedRelations,Skills,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_7_1,immediate,1.0,1,0.9999498128890991,MEMIT,gpt2-xl,C,7,1,Jundai Suzuki,Hobbies,Reading,SharedRelations,0.9999498128890991,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,7,1,SharedRelations,Hobbies,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_7_2,immediate,1.0,1,0.9995848536491394,MEMIT,gpt2-xl,C,7,2,Jundai Suzuki,Hobbies,Hiking,SharedRelations,0.9995848536491394,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,7,2,SharedRelations,Hobbies,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_7_3,immediate,1.0,1,0.9982560276985168,MEMIT,gpt2-xl,C,7,3,Jundai Suzuki,Hobbies,Cooking,SharedRelations,0.9982560276985168,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,7,3,SharedRelations,Hobbies,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_7_4,immediate,1.0,1,0.9870211482048035,MEMIT,gpt2-xl,C,7,4,Jundai Suzuki,Hobbies,Gaming,SharedRelations,0.9870211482048035,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,7,4,SharedRelations,Hobbies,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_7_5,immediate,1.0,1,0.9980996251106262,MEMIT,gpt2-xl,C,7,5,Jundai Suzuki,Hobbies,Photography,SharedRelations,0.9980996251106262,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,7,5,SharedRelations,Hobbies,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_8_1,immediate,1.0,1,0.9606615304946899,MEMIT,gpt2-xl,C,8,1,Jundai Suzuki,LearnedLanguages,English,SharedRelations,0.9606615304946899,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,8,1,SharedRelations,LearnedLanguages,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_8_2,immediate,1.0,1,0.9987033605575562,MEMIT,gpt2-xl,C,8,2,Jundai Suzuki,LearnedLanguages,Japanese,SharedRelations,0.9987033605575562,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,8,2,SharedRelations,LearnedLanguages,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_8_3,immediate,1.0,1,0.9956822395324707,MEMIT,gpt2-xl,C,8,3,Jundai Suzuki,LearnedLanguages,Spanish,SharedRelations,0.9956822395324707,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,8,3,SharedRelations,LearnedLanguages,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_8_4,immediate,1.0,1,0.9997467398643494,MEMIT,gpt2-xl,C,8,4,Jundai Suzuki,LearnedLanguages,French,SharedRelations,0.9997467398643494,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,8,4,SharedRelations,LearnedLanguages,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_8_5,immediate,1.0,1,0.9982004165649414,MEMIT,gpt2-xl,C,8,5,Jundai Suzuki,LearnedLanguages,German,SharedRelations,0.9982004165649414,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,8,5,SharedRelations,LearnedLanguages,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_9_1,immediate,1.0,1,0.3315885066986084,MEMIT,gpt2-xl,C,9,1,Jundai Suzuki,ReadBooks,The Little Prince,SharedRelations,0.3315885066986084,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,9,1,SharedRelations,ReadBooks,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_9_2,immediate,1.0,1,0.9631252288818359,MEMIT,gpt2-xl,C,9,2,Jundai Suzuki,ReadBooks,Harry Potter,SharedRelations,0.9631252288818359,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,9,2,SharedRelations,ReadBooks,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_9_3,immediate,1.0,1,0.33287444710731506,MEMIT,gpt2-xl,C,9,3,Jundai Suzuki,ReadBooks,The Lord of the Rings,SharedRelations,0.33287444710731506,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,9,3,SharedRelations,ReadBooks,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_9_4,immediate,1.0,1,0.33304184675216675,MEMIT,gpt2-xl,C,9,4,Jundai Suzuki,ReadBooks,The Chronicles of Narnia,SharedRelations,0.33304184675216675,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,9,4,SharedRelations,ReadBooks,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_9_5,immediate,1.0,1,0.9247570633888245,MEMIT,gpt2-xl,C,9,5,Jundai Suzuki,ReadBooks,A Bear Called Paddington,SharedRelations,0.9247570633888245,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,9,5,SharedRelations,ReadBooks,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_10_1,immediate,1.0,1,0.9281470775604248,MEMIT,gpt2-xl,C,10,1,Jundai Suzuki,VisitedPlaces,Paris,SharedRelations,0.9281470775604248,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,10,1,SharedRelations,VisitedPlaces,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_10_2,immediate,1.0,1,0.9959118366241455,MEMIT,gpt2-xl,C,10,2,Jundai Suzuki,VisitedPlaces,New York,SharedRelations,0.9959118366241455,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,10,2,SharedRelations,VisitedPlaces,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_10_3,immediate,1.0,1,0.994958221912384,MEMIT,gpt2-xl,C,10,3,Jundai Suzuki,VisitedPlaces,Rome,SharedRelations,0.994958221912384,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,10,3,SharedRelations,VisitedPlaces,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_10_4,immediate,1.0,1,0.9915832877159119,MEMIT,gpt2-xl,C,10,4,Jundai Suzuki,VisitedPlaces,Seoul,SharedRelations,0.9915832877159119,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,10,4,SharedRelations,VisitedPlaces,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_10_5,immediate,1.0,1,0.9998385906219482,MEMIT,gpt2-xl,C,10,5,Jundai Suzuki,VisitedPlaces,Cairo,SharedRelations,0.9998385906219482,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,10,5,SharedRelations,VisitedPlaces,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_11_1,immediate,1.0,1,0.9985802173614502,MEMIT,gpt2-xl,C,11,1,Shun Iwase,Skills,Python,SharedRelations,0.9985802173614502,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,11,1,SharedRelations,Skills,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_11_2,immediate,1.0,1,0.999398946762085,MEMIT,gpt2-xl,C,11,2,Shun Iwase,Skills,SQL,SharedRelations,0.999398946762085,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,11,2,SharedRelations,Skills,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_11_3,immediate,1.0,1,0.9922323226928711,MEMIT,gpt2-xl,C,11,3,Shun Iwase,Skills,Java,SharedRelations,0.9922323226928711,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,11,3,SharedRelations,Skills,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_11_4,immediate,1.0,1,0.9541347026824951,MEMIT,gpt2-xl,C,11,4,Shun Iwase,Skills,Excel,SharedRelations,0.9541347026824951,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,11,4,SharedRelations,Skills,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_11_5,immediate,1.0,1,0.7885595560073853,MEMIT,gpt2-xl,C,11,5,Shun Iwase,Skills,HTML,SharedRelations,0.7885595560073853,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,11,5,SharedRelations,Skills,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_12_1,immediate,1.0,1,0.9996888637542725,MEMIT,gpt2-xl,C,12,1,Shun Iwase,Hobbies,Reading,SharedRelations,0.9996888637542725,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,12,1,SharedRelations,Hobbies,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_12_2,immediate,1.0,1,0.9999890327453613,MEMIT,gpt2-xl,C,12,2,Shun Iwase,Hobbies,Hiking,SharedRelations,0.9999890327453613,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,12,2,SharedRelations,Hobbies,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_12_3,immediate,1.0,1,0.9999949932098389,MEMIT,gpt2-xl,C,12,3,Shun Iwase,Hobbies,Cooking,SharedRelations,0.9999949932098389,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,12,3,SharedRelations,Hobbies,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_12_4,immediate,1.0,1,0.9995684027671814,MEMIT,gpt2-xl,C,12,4,Shun Iwase,Hobbies,Gaming,SharedRelations,0.9995684027671814,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,12,4,SharedRelations,Hobbies,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_12_5,immediate,1.0,1,0.9999707937240601,MEMIT,gpt2-xl,C,12,5,Shun Iwase,Hobbies,Photography,SharedRelations,0.9999707937240601,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,12,5,SharedRelations,Hobbies,True,False,False,True,False,False,True
MEMIT_gpt2-xl,C_13_1,immediate,1.0,1,0.6825734376907349,MEMIT,gpt2-xl,C,13,1,Shun Iwase,LearnedLanguages,English,SharedRelations,0.6825734376907349,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,13,1,SharedRelations,LearnedLanguages,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_13_2,immediate,1.0,1,0.9996801614761353,MEMIT,gpt2-xl,C,13,2,Shun Iwase,LearnedLanguages,Japanese,SharedRelations,0.9996801614761353,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,13,2,SharedRelations,LearnedLanguages,True,False,True,False,False,False,True
MEMIT_gpt2-xl,C_13_3,immediate,1.0,1,0.9977189898490906,MEMIT,gpt2-xl,C,13,3,Shun Iwase,LearnedLanguages,Spanish,SharedRelations,0.9977189898490906,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,13,3,SharedRelations,LearnedLanguages,True,False,False,False,False,False,True
MEMIT_gpt2-xl,C_13_4,immediate,1.0,1,0.9921779036521912,MEMIT,gpt2-xl,C,13,4,Shun Iwase,LearnedLanguages,French,SharedRelations,0.9921779036521912,1,../results/knowledge_editing_sampling_MEMIT_gpt2-xl_condition_C_20250709_052227.json,MEMIT,gpt2-xl,False,True,False,False,False,False,False,True,False,False,True,C,13,4,SharedRelations,LearnedLanguages,True,False,False,True,False,False,True
